GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
oficina360,com.techchallenger.oficina360.usecases.veiculo,ListarVeiculosUseCase,0,14,0,0,0,7,0,2,0,2
oficina360,com.techchallenger.oficina360.usecases.veiculo,BuscarVeiculoPorPlacaUseCase,0,25,0,0,0,7,0,3,0,3
oficina360,com.techchallenger.oficina360.usecases.veiculo,AtualizarVeiculoUseCase,0,70,0,2,0,22,0,4,0,3
oficina360,com.techchallenger.oficina360.usecases.veiculo,CadastrarVeiculoUseCase,0,45,0,2,0,13,0,4,0,3
oficina360,com.techchallenger.oficina360.usecases.veiculo,ExcluirVeiculoUseCase,0,22,0,0,0,8,0,2,0,2
oficina360,com.techchallenger.oficina360.usecases.ordemservico.query,ListarOrdensServicoQuery,12,50,4,6,3,7,4,2,0,1
oficina360,com.techchallenger.oficina360.usecases.ordemservico.query,OrdemServicoOrdenacao,0,27,0,0,0,5,0,1,0,1
oficina360,com.techchallenger.oficina360.usecases.ordemservico.output,OrdemServicoResumoOutput,0,30,0,0,0,1,0,1,0,1
oficina360,com.techchallenger.oficina360.usecases.shared.paginacao,DirecaoOrdenacao,0,15,0,0,0,3,0,1,0,1
oficina360,com.techchallenger.oficina360.usecases.shared.paginacao,ResultadoPaginado,26,27,0,0,2,1,1,1,1,1
oficina360,com.techchallenger.oficina360.usecases.validators,OrdemServicoValidator,44,6,2,0,9,3,4,1,3,1
oficina360,com.techchallenger.oficina360.usecases.validators,DiagnosticoValidator,15,9,0,0,3,4,1,1,1,1
oficina360,com.techchallenger.oficina360.frameworks.persistence.entities,OrdemServicoEntity,62,22,10,2,22,8,12,2,6,2
oficina360,com.techchallenger.oficina360.frameworks.persistence.entities,EstoqueEntity,23,0,4,0,3,0,3,0,1,0
oficina360,com.techchallenger.oficina360.utils,FormataDadosUtils,0,68,0,14,0,15,0,11,0,4
oficina360,com.techchallenger.oficina360.utils,MessageUtil,22,6,0,0,3,3,3,1,3,1
oficina360,com.techchallenger.oficina360.usecases.servicos.commands,ServicoCommand,0,15,0,0,0,1,0,1,0,1
oficina360,com.techchallenger.oficina360.usecases.autorizacao,AutorizacaoClienteUseCase,0,102,0,12,0,33,0,13,0,7
oficina360,com.techchallenger.oficina360.usecases.shared.exception,AplicacaoException,0,4,0,0,0,2,0,1,0,1
oficina360,com.techchallenger.oficina360.usecases.shared.exception,VeiculosJaCadastradoException,0,4,0,0,0,2,0,1,0,1
oficina360,com.techchallenger.oficina360.usecases.shared.exception,RegraDeNegocioException,2,21,1,1,0,7,1,3,0,3
oficina360,com.techchallenger.oficina360.usecases.shared.exception,ClienteJaCadastradoException,0,4,0,0,0,2,0,1,0,1
oficina360,com.techchallenger.oficina360.usecases.shared.exception,UsuarioJaCadastradoException,0,4,0,0,0,2,0,1,0,1
oficina360,com.techchallenger.oficina360.usecases.shared.exception,RecursoNaoEncontradoException,0,4,0,0,0,2,0,1,0,1
oficina360,com.techchallenger.oficina360.usecases.services,ReservaEstoqueService,39,6,2,0,9,3,2,1,1,1
oficina360,com.techchallenger.oficina360.usecases.services,NotificarStatusOrdemServicoService,102,9,4,0,16,4,7,1,5,1
oficina360,com.techchallenger.oficina360.usecases.services,TempoExecucaoService,52,6,4,0,15,3,4,1,2,1
oficina360,com.techchallenger.oficina360.frameworks.mappers.servico,ServicoDTOMapper,40,27,4,0,17,11,4,3,2,3
oficina360,com.techchallenger.oficina360.dominio.shared.exception,InicioExecucaoNaoRegistradoException,0,4,0,0,0,2,0,1,0,1
oficina360,com.techchallenger.oficina360.dominio.shared.exception,ItemEstoqueInvalidoException,0,4,0,0,0,2,0,1,0,1
oficina360,com.techchallenger.oficina360.dominio.shared.exception,TransicaoStatusInvalidaException,0,4,0,0,0,2,0,1,0,1
oficina360,com.techchallenger.oficina360.dominio.shared.exception,DiagnosticoSemServicoException,0,4,0,0,0,2,0,1,0,1
oficina360,com.techchallenger.oficina360.dominio.shared.exception,DominioException,0,4,0,0,0,2,0,1,0,1
oficina360,com.techchallenger.oficina360.dominio.shared.exception,DecisaoOrcamentoObrigatoriaException,0,4,0,0,0,2,0,1,0,1
oficina360,com.techchallenger.oficina360.dtos.ordemservico.diagnostico,DiagnosticoDTO,0,9,0,0,0,1,0,1,0,1
oficina360,com.techchallenger.oficina360.dtos.ordemservico.diagnostico,ReservaEstoqueDTO,0,6,0,0,0,1,0,1,0,1
oficina360,com.techchallenger.oficina360.dtos.ordemservico.diagnostico,DiagnosticoEstoqueDTO,0,9,0,0,0,1,0,1,0,1
oficina360,com.techchallenger.oficina360.frameworks.adapters,VeiculoGatewayImpl,0,69,0,0,0,16,0,7,0,7
oficina360,com.techchallenger.oficina360.frameworks.adapters,ClienteGatewayImpl,0,68,0,0,0,17,0,7,0,7
oficina360,com.techchallenger.oficina360.frameworks.adapters,TokenGatewayImpl,0,46,0,0,0,16,0,3,0,3
oficina360,com.techchallenger.oficina360.frameworks.adapters,ServicoGatewayImpl,0,72,0,0,0,18,0,6,0,6
oficina360,com.techchallenger.oficina360.frameworks.adapters,UsuarioAutenticadoGatewayImpl,0,25,0,4,0,8,0,4,0,2
oficina360,com.techchallenger.oficina360.frameworks.adapters,PasswordEncoderGatewayImpl,8,0,0,0,2,0,1,0,1,0
oficina360,com.techchallenger.oficina360.frameworks.adapters,TempoExecucaoServicoGatewayImpl,0,46,0,0,0,10,0,4,0,4
oficina360,com.techchallenger.oficina360.frameworks.adapters,UsuarioGatewayImpl,0,85,0,0,0,18,0,7,0,7
oficina360,com.techchallenger.oficina360.frameworks.adapters,OrdemServicoGatewayImpl,0,149,0,6,0,40,0,12,0,8
oficina360,com.techchallenger.oficina360.frameworks.adapters,AuthenticationGatewayImpl,16,0,0,0,3,0,1,0,1,0
oficina360,com.techchallenger.oficina360.frameworks.adapters,NotificacaoEmailGatewayImpl,0,43,0,0,0,13,0,2,0,2
oficina360,com.techchallenger.oficina360.frameworks.adapters,EstoqueGatewayImpl,0,199,0,2,0,31,0,13,0,12
